STN,YYYYMMDD,HH,DD,FH,FF,FX,T,T10,TD,SQ,Q,DR,RH,P,VV,N,U,WW,IX,M,R,S,O,Y,event_name,date
240,20191020,23,40.0,40.0,40.0,60.0,120.0,,108.0,0.0,0.0,0.0,0.0,10118.0,56.0,8.0,92.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20191020,24,20.0,40.0,40.0,70.0,120.0,104.0,106.0,0.0,0.0,0.0,0.0,10118.0,58.0,8.0,91.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2019-10-20
240,20181021,1,170.0,30.0,30.0,40.0,112.0,,97.0,0.0,0.0,0.0,0.0,10298.0,61.0,8.0,90.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,2,190.0,30.0,30.0,40.0,114.0,,97.0,0.0,0.0,0.0,0.0,10293.0,60.0,8.0,89.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,3,190.0,30.0,30.0,50.0,115.0,,98.0,0.0,0.0,0.0,0.0,10290.0,61.0,8.0,88.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,4,190.0,30.0,30.0,50.0,117.0,,91.0,0.0,0.0,0.0,0.0,10289.0,65.0,8.0,84.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,5,170.0,30.0,30.0,40.0,112.0,,88.0,0.0,0.0,0.0,0.0,10289.0,62.0,8.0,85.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,6,170.0,30.0,30.0,40.0,107.0,93.0,87.0,0.0,0.0,0.0,0.0,10285.0,60.0,8.0,87.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,7,190.0,30.0,40.0,50.0,114.0,,87.0,0.0,5.0,0.0,0.0,10285.0,60.0,8.0,83.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,8,190.0,40.0,40.0,50.0,124.0,,90.0,0.0,25.0,0.0,0.0,10287.0,62.0,8.0,79.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,9,190.0,40.0,40.0,50.0,132.0,,91.0,0.0,50.0,0.0,0.0,10289.0,63.0,8.0,75.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,10,190.0,50.0,50.0,60.0,138.0,,88.0,0.0,64.0,0.0,0.0,10288.0,64.0,8.0,71.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,11,190.0,50.0,50.0,70.0,158.0,,89.0,6.0,119.0,0.0,0.0,10282.0,62.0,8.0,63.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,12,210.0,50.0,50.0,70.0,158.0,94.0,92.0,8.0,112.0,0.0,0.0,10277.0,62.0,8.0,64.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,13,190.0,50.0,50.0,70.0,158.0,,94.0,0.0,76.0,0.0,0.0,10272.0,61.0,8.0,65.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,14,190.0,40.0,50.0,60.0,156.0,,93.0,0.0,61.0,0.0,0.0,10267.0,61.0,8.0,65.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,15,190.0,50.0,40.0,80.0,154.0,,91.0,0.0,36.0,0.0,0.0,10264.0,62.0,8.0,65.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,16,190.0,40.0,40.0,60.0,150.0,,91.0,3.0,16.0,0.0,0.0,10260.0,64.0,8.0,67.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,17,200.0,40.0,30.0,60.0,138.0,,92.0,0.0,5.0,0.0,0.0,10260.0,67.0,8.0,73.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,18,190.0,30.0,30.0,50.0,114.0,91.0,80.0,0.0,0.0,0.0,0.0,10262.0,65.0,7.0,79.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,19,230.0,30.0,30.0,40.0,137.0,,96.0,0.0,0.0,0.0,0.0,10264.0,62.0,8.0,76.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,20,220.0,40.0,40.0,50.0,132.0,,90.0,0.0,0.0,0.0,0.0,10261.0,61.0,8.0,75.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,21,210.0,30.0,30.0,50.0,107.0,,81.0,0.0,0.0,0.0,0.0,10260.0,59.0,2.0,83.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,22,200.0,30.0,20.0,40.0,117.0,,101.0,0.0,0.0,0.0,0.0,10264.0,58.0,8.0,89.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,23,0.0,10.0,0.0,30.0,108.0,,98.0,0.0,0.0,0.0,0.0,10266.0,56.0,8.0,93.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20181021,24,310.0,10.0,20.0,20.0,128.0,77.0,118.0,0.0,0.0,0.0,0.0,10270.0,50.0,8.0,94.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-21
240,20171015,1,140.0,20.0,20.0,30.0,119.0,,118.0,0.0,0.0,0.0,0.0,10241.0,6.0,0.0,99.0,34.0,7,1.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,2,150.0,20.0,40.0,50.0,129.0,,127.0,0.0,0.0,0.0,0.0,10235.0,19.0,0.0,98.0,20.0,7,1.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,3,130.0,20.0,10.0,50.0,127.0,,124.0,0.0,0.0,0.0,0.0,10235.0,25.0,0.0,98.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,4,140.0,20.0,30.0,40.0,129.0,,125.0,0.0,0.0,0.0,0.0,10230.0,22.0,0.0,97.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,5,150.0,30.0,30.0,40.0,123.0,,121.0,0.0,0.0,0.0,0.0,10228.0,19.0,0.0,98.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,6,150.0,30.0,30.0,40.0,120.0,93.0,118.0,0.0,0.0,0.0,0.0,10224.0,24.0,0.0,98.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,7,150.0,30.0,30.0,50.0,123.0,,119.0,3.0,10.0,0.0,0.0,10224.0,41.0,0.0,97.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,8,160.0,40.0,40.0,60.0,138.0,,128.0,10.0,47.0,0.0,0.0,10223.0,58.0,0.0,93.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,9,160.0,40.0,40.0,60.0,158.0,,137.0,10.0,91.0,0.0,0.0,10219.0,64.0,0.0,86.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,10,160.0,50.0,50.0,70.0,175.0,,140.0,10.0,128.0,0.0,0.0,10214.0,71.0,0.0,80.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,11,160.0,50.0,50.0,70.0,191.0,,147.0,10.0,149.0,0.0,0.0,10210.0,70.0,0.0,75.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,12,170.0,60.0,60.0,90.0,200.0,113.0,149.0,10.0,155.0,0.0,0.0,10203.0,73.0,0.0,72.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,13,170.0,60.0,60.0,80.0,210.0,,152.0,10.0,147.0,0.0,0.0,10199.0,72.0,0.0,69.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,14,170.0,60.0,50.0,90.0,212.0,,150.0,10.0,123.0,0.0,0.0,10195.0,76.0,0.0,67.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,15,170.0,50.0,50.0,90.0,211.0,,151.0,10.0,85.0,0.0,0.0,10190.0,77.0,0.0,68.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,16,160.0,50.0,50.0,70.0,199.0,,150.0,10.0,39.0,0.0,0.0,10186.0,74.0,0.0,73.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,17,160.0,50.0,40.0,70.0,183.0,,144.0,2.0,6.0,0.0,0.0,10187.0,73.0,0.0,77.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,18,160.0,40.0,40.0,60.0,174.0,155.0,136.0,0.0,0.0,0.0,0.0,10189.0,75.0,0.0,78.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,19,180.0,40.0,50.0,60.0,170.0,,135.0,0.0,0.0,0.0,0.0,10192.0,74.0,0.0,79.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,20,170.0,40.0,40.0,60.0,159.0,,131.0,0.0,0.0,0.0,0.0,10193.0,70.0,0.0,83.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,21,180.0,40.0,30.0,60.0,156.0,,128.0,0.0,0.0,0.0,0.0,10195.0,70.0,0.0,83.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,22,180.0,40.0,40.0,60.0,156.0,,130.0,0.0,0.0,0.0,0.0,10196.0,70.0,0.0,84.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,23,180.0,40.0,30.0,60.0,147.0,,130.0,0.0,0.0,0.0,0.0,10196.0,67.0,0.0,89.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20171015,24,170.0,30.0,40.0,50.0,142.0,131.0,129.0,0.0,0.0,0.0,0.0,10197.0,64.0,0.0,91.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2017-10-15
240,20181016,1,200.0,20.0,20.0,20.0,136.0,,134.0,0.0,0.0,0.0,0.0,10161.0,50.0,8.0,98.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,2,60.0,10.0,10.0,20.0,124.0,,121.0,0.0,0.0,0.0,0.0,10161.0,20.0,8.0,98.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,3,130.0,10.0,20.0,20.0,128.0,,125.0,0.0,0.0,0.0,0.0,10162.0,29.0,8.0,98.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,4,140.0,10.0,20.0,20.0,118.0,,116.0,0.0,0.0,0.0,0.0,10164.0,32.0,8.0,98.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,5,130.0,20.0,20.0,30.0,114.0,,111.0,0.0,0.0,0.0,0.0,10167.0,1.0,8.0,98.0,34.0,7,1.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,6,100.0,10.0,20.0,30.0,130.0,79.0,128.0,0.0,0.0,0.0,0.0,10169.0,26.0,8.0,98.0,20.0,7,1.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,7,120.0,20.0,10.0,20.0,123.0,,121.0,0.0,5.0,0.0,0.0,10174.0,20.0,8.0,98.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,8,140.0,20.0,20.0,30.0,138.0,,129.0,0.0,18.0,0.0,0.0,10175.0,57.0,6.0,94.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,9,150.0,30.0,30.0,40.0,157.0,,130.0,4.0,78.0,0.0,0.0,10177.0,60.0,8.0,84.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,10,170.0,30.0,30.0,40.0,176.0,,128.0,4.0,89.0,0.0,0.0,10179.0,64.0,7.0,73.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,11,190.0,30.0,30.0,40.0,211.0,,137.0,10.0,156.0,0.0,0.0,10179.0,66.0,8.0,62.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,12,180.0,30.0,30.0,40.0,222.0,78.0,133.0,8.0,136.0,0.0,0.0,10178.0,68.0,8.0,57.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,13,200.0,30.0,30.0,50.0,231.0,,121.0,10.0,146.0,0.0,0.0,10177.0,72.0,0.0,50.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,14,200.0,30.0,30.0,50.0,230.0,,121.0,10.0,124.0,0.0,0.0,10176.0,80.0,7.0,50.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,15,170.0,30.0,30.0,40.0,222.0,,127.0,10.0,84.0,0.0,0.0,10175.0,80.0,5.0,54.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,16,160.0,30.0,20.0,40.0,207.0,,128.0,10.0,41.0,0.0,0.0,10176.0,80.0,0.0,60.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,17,110.0,10.0,10.0,20.0,173.0,,131.0,2.0,6.0,0.0,0.0,10177.0,75.0,0.0,76.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,18,90.0,10.0,10.0,20.0,147.0,100.0,125.0,0.0,0.0,0.0,0.0,10178.0,70.0,1.0,86.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,19,70.0,10.0,10.0,20.0,145.0,,128.0,0.0,0.0,0.0,0.0,10179.0,68.0,8.0,89.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,20,130.0,20.0,40.0,50.0,155.0,,119.0,0.0,0.0,0.0,0.0,10176.0,69.0,1.0,79.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,21,150.0,40.0,30.0,50.0,151.0,,122.0,0.0,0.0,0.0,0.0,10175.0,66.0,8.0,82.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,22,160.0,30.0,20.0,40.0,146.0,,117.0,0.0,0.0,0.0,0.0,10174.0,64.0,8.0,82.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,23,160.0,30.0,20.0,40.0,142.0,,113.0,0.0,0.0,0.0,0.0,10172.0,63.0,8.0,82.0,,5,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20181016,24,190.0,20.0,20.0,30.0,132.0,87.0,106.0,0.0,0.0,0.0,0.0,10174.0,59.0,8.0,84.0,10.0,7,0.0,0.0,0.0,0.0,0.0,amsterdam_marathon,2018-10-16
240,20190920,1,60.0,10.0,10.0,20.0,94.0,,87.0,0.0,0.0,0.0,0.0,10307.0,65.0,8.0,95.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,2,0.0,10.0,0.0,10.0,83.0,,79.0,0.0,0.0,0.0,0.0,10305.0,65.0,8.0,97.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,3,0.0,0.0,0.0,10.0,81.0,,77.0,0.0,0.0,0.0,0.0,10303.0,65.0,8.0,97.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,4,0.0,10.0,0.0,10.0,79.0,,75.0,0.0,0.0,0.0,0.0,10299.0,65.0,8.0,97.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,5,80.0,0.0,10.0,10.0,80.0,,76.0,0.0,0.0,0.0,0.0,10297.0,65.0,8.0,97.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,6,0.0,10.0,0.0,10.0,78.0,29.0,74.0,0.0,4.0,0.0,0.0,10298.0,65.0,8.0,97.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,7,90.0,10.0,10.0,10.0,109.0,,85.0,10.0,42.0,0.0,0.0,10300.0,70.0,8.0,85.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,8,160.0,10.0,20.0,20.0,134.0,,85.0,10.0,93.0,0.0,0.0,10302.0,75.0,8.0,72.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,9,110.0,20.0,20.0,40.0,148.0,,89.0,9.0,128.0,0.0,0.0,10302.0,80.0,6.0,67.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,10,130.0,30.0,20.0,50.0,160.0,,95.0,10.0,180.0,0.0,0.0,10298.0,80.0,8.0,65.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,11,100.0,30.0,30.0,50.0,167.0,,91.0,10.0,205.0,0.0,0.0,10293.0,81.0,8.0,60.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,12,100.0,30.0,40.0,60.0,175.0,39.0,78.0,10.0,216.0,0.0,0.0,10287.0,76.0,7.0,53.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,13,100.0,30.0,40.0,50.0,185.0,,93.0,10.0,214.0,0.0,0.0,10280.0,80.0,0.0,54.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,14,80.0,40.0,40.0,60.0,182.0,,89.0,10.0,190.0,0.0,0.0,10273.0,81.0,0.0,54.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,15,70.0,40.0,50.0,70.0,179.0,,95.0,10.0,154.0,0.0,0.0,10269.0,80.0,0.0,57.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,16,60.0,40.0,50.0,70.0,171.0,,107.0,10.0,104.0,0.0,0.0,10263.0,80.0,0.0,66.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,17,60.0,40.0,40.0,70.0,157.0,,109.0,10.0,48.0,0.0,0.0,10259.0,75.0,0.0,73.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,18,60.0,40.0,40.0,70.0,140.0,120.0,108.0,2.0,7.0,0.0,0.0,10256.0,70.0,0.0,81.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,19,80.0,30.0,30.0,60.0,123.0,,105.0,0.0,0.0,0.0,0.0,10252.0,70.0,0.0,88.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,20,80.0,40.0,40.0,50.0,125.0,,103.0,0.0,0.0,0.0,0.0,10247.0,70.0,0.0,86.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,21,70.0,40.0,40.0,50.0,122.0,,101.0,0.0,0.0,0.0,0.0,10244.0,70.0,0.0,87.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,22,80.0,40.0,40.0,50.0,121.0,,98.0,0.0,0.0,0.0,0.0,10240.0,70.0,0.0,85.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,23,80.0,40.0,40.0,60.0,116.0,,84.0,0.0,0.0,0.0,0.0,10235.0,70.0,0.0,81.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
240,20190920,24,90.0,40.0,30.0,50.0,112.0,87.0,75.0,0.0,0.0,0.0,0.0,10233.0,75.0,0.0,78.0,,5,0.0,0.0,0.0,0.0,0.0,dam_tot_damloop,2019-09-20
225,20190920,1,110.0,30.0,30.0,40.0,,,,,,,,,,,,,6,,,,,,dam_tot_damloop,2019-09-20
225,20190920,2,140.0,30.0,40.0,50.0,,,,,,,,,,,,,6,,,,,,dam_tot_damloop,2019-09-20
225,20190920,3,150.0,40.0,40.0,50.0,,,,,,,,,,,,,6,,,,,,dam_tot_damloop,2019-09-20
225,20190920,4,160.0,30.0,40.0,40.0,,,,,,,,,,,,,6,,,,,,dam_tot_damloop,2019-09-20
225,20190920,5,150.0,40.0,50.0,50.0,,,,,,,,,,,,,6,,,,,,dam_tot_damloop,2019-09-20
225,20190920,6,150.0,40.0,30.0,50.0,,,,,,,,,,,,,6,,,,,,dam_tot_damloop,2019-09-20
225,20190920,7,150.0,40.0,30.0,50.0,,,,,,,,,,,,,6,,,,,,dam_tot_damloop,2019-09-20
225,20190920,8,180.0,30.0,30.0,40.0,,,,,,,,,,,,,6,,,,,,dam_tot_damloop,2019-09-20
225,20190920,9,150.0,30.0,30.0,40.0,,,,,,,,,,,,,6,,,,,,dam_tot_damloop,2019-09-20
225,20190920,10,110.0,30.0,30.0,50.0,,,,,,,,,,,,,6,,,,,,dam_tot_damloop,2019-09-20
225,20190920,11,100.0,30.0,20.0,50.0,,,,,,,,,,,,,6,,,,,,dam_tot_damloop,2019-09-20
225,20190920,12,100.0,30.0,50.0,70.0,,,,,,,,,,,,,6,,,,,,dam_tot_damloop,2019-09-20
225,20190920,13,90.0,40.0,40.0,70.0,,,,,,,,,,,,,6,,,,,,dam_tot_damloop,2019-09-20
225,20190920,14,80.0,50.0,60.0,80.0,,,,,,,,,,,,,6,,,,,,dam_tot_damloop,2019-09-20
225,20190920,15,90.0,60.0,60.0,80.0,,,,,,,,,,,,,6,,,,,,dam_tot_damloop,2019-09-20
225,20190920,16,90.0,60.0,60.0,90.0,,,,,,,,,,,,,6,,,,,,dam_tot_damloop,2019-09-20
